Brand,Description,VendorNo,VendorName,Total_Qty_Sold,Total_Revenue,Unit_Cost,Total_COGS,Gross_Profit
2329,Craigellachie 13 Yr Scotch,480,BACARDI USA INC            ,612,29755.88,38.45,23531.4,6224.48
2502,Dewars Wh Label & Honey 2 Pk,480,BACARDI USA INC            ,98,3429.02,26.92,2638.1600000000003,790.8599999999997
2611,Dewar's 15 Yr Old Rsv,480,BACARDI USA INC            ,415,19294.850000000002,39.99,16595.850000000002,2699.0
2614,Dewars Special RSV 12-Year,480,BACARDI USA INC            ,289,16094.11,41.21,11909.69,4184.42
2622,Dewars Scratch Cask Scotch,480,BACARDI USA INC            ,1479,38435.21,18.65,27583.35,10851.86
2624,Dewars 18 Yr Old Founders Rv,480,BACARDI USA INC            ,644,42753.56,46.76,30113.44,12640.119999999999
2628,Dewars Special RSV 12-Yr,480,BACARDI USA INC            ,3547,112630.53,23.43,83106.20999999999,29524.320000000007
2643,Dewars Signature,480,BACARDI USA INC            ,6,1109.94,136.02,816.1200000000001,293.81999999999994
2663,Dewars White Label,480,BACARDI USA INC            ,70122,2189368.78,21.42,1502013.2400000002,687355.5399999996
2665,Dewars White Label,480,BACARDI USA INC            ,19088,400461.12,15.38,293573.44,106887.68
2668,Dewars White Label,480,BACARDI USA INC            ,5551,74776.49,10.68,59284.68,15491.810000000005
2672,Dewars White Label,480,BACARDI USA INC            ,22276,51012.04,1.8,40096.8,10915.239999999998
2679,Dewars Highlander Honey,480,BACARDI USA INC            ,2348,46676.52,14.28,33529.439999999995,13147.080000000002
2742,Aberfeldy 12 Yr Single Malt,480,BACARDI USA INC            ,881,42761.19,37.98,33460.38,9300.810000000005
2863,The Deveron 12 Yr Scotch,480,BACARDI USA INC            ,248,11592.52,34.34,8516.320000000002,3076.199999999999
2916,Royal Brackla 12 Yr Scotch,480,BACARDI USA INC            ,163,10725.37,47.05,7669.15,3056.220000000001
2933,Aultmore 12 Yr Scotch,480,BACARDI USA INC            ,328,16593.72,38.88,12752.640000000001,3841.08
3016,Bombay Sapphire East Gin,480,BACARDI USA INC            ,5421,113409.79,14.59,79092.39,34317.399999999994
3139,Grey Goose Le Melon,480,BACARDI USA INC            ,2220,54432.799999999996,17.64,39160.8,15271.999999999993
3144,Grey Goose Cherry Noir,480,BACARDI USA INC            ,12,11.879999999999999,0.78,9.36,2.5199999999999996
3185,Grey Goose L'Orange Vodka,480,BACARDI USA INC            ,280,13157.2,35.33,9892.4,3264.800000000001
3194,Grey Goose Cherry Noir Vodka,480,BACARDI USA INC            ,3846,94295.54,18.31,70420.26,23875.28
3199,Grey Goose La Poire Vodka,480,BACARDI USA INC            ,260,12217.4,34.3,8918.0,3299.3999999999996
3341,Bombay Sapphire & East 2 Pak,480,BACARDI USA INC            ,8,279.92,25.17,201.36,78.56
3343,Bombay Sapphire Gin,480,BACARDI USA INC            ,7327,95177.73,9.46,69313.42000000001,25864.309999999983
3344,Bombay Sapphire Gin,480,BACARDI USA INC            ,24620,516761.8,14.49,356743.8,160018.0
3345,Bombay Sapphire Gin,480,BACARDI USA INC            ,19658,39119.42,1.54,30273.32,8846.099999999999
3348,Bombay Sapphire Gin,480,BACARDI USA INC            ,56888,1766391.1199999999,22.38,1273153.44,493237.67999999993
3415,42 Below Pure Vodka,480,BACARDI USA INC            ,5,94.94999999999999,14.39,71.95,22.999999999999986
3436,Bombay Dry Gin,480,BACARDI USA INC            ,12094,312799.06,18.79,227246.25999999998,85552.80000000002
3437,Bombay Dry Gin,480,BACARDI USA INC            ,4445,82741.54999999999,13.84,61518.799999999996,21222.749999999993
3460,Corzo Anejo Tequila,480,BACARDI USA INC            ,548,30702.52,41.04,22489.92,8212.600000000002
3461,Corzo Silver Tequila,480,BACARDI USA INC            ,14,699.86,39.99,559.86,140.0
3472,Cazadores Blanco Tequila,480,BACARDI USA INC            ,2402,42528.979999999996,11.1,26662.2,15866.779999999995
3475,Cazadores Anejo Tequila,480,BACARDI USA INC            ,13,389.87,22.38,290.94,98.93
3611,Grey Goose La Poire Vodka,480,BACARDI USA INC            ,30,449.7,5.5,165.0,284.7
3613,Bacardi Reserva Limitada,480,BACARDI USA INC            ,32,2879.68,67.66,2165.12,714.56
3615,Bacardi Anejo Mexican Rum,480,BACARDI USA INC            ,177,2476.23,11.02,1950.54,525.69
3778,Grey Goose Le Citron Vodka,480,BACARDI USA INC            ,209,9820.91,34.3,7168.7,2652.21
3782,Grey Goose Le Citron Vodka,480,BACARDI USA INC            ,7572,186388.78,18.89,143035.08000000002,43353.69999999998
3830,Grey Goose L'Orange Vodka,480,BACARDI USA INC            ,6400,157610.0,18.45,118080.0,39530.0
3831,Grey Goose L'Orange Vodka,480,BACARDI USA INC            ,5219,20823.81,2.89,15082.91,5740.9000000000015
3847,Grey Goose Vodka,480,BACARDI USA INC            ,21606,86207.94,2.81,60712.86,25495.08
3851,Grey Goose Vodka,480,BACARDI USA INC            ,20370,303207.3,12.02,244847.4,58359.899999999994
3857,Grey Goose Vodka,480,BACARDI USA INC            ,32945,1699669.55,38.27,1260805.1500000001,438864.3999999999
3858,Grey Goose Vodka,480,BACARDI USA INC            ,141860,3383912.4,17.77,2520852.2,863060.1999999997
3961,Grey Goose La Poire Vodka,480,BACARDI USA INC            ,4625,113994.25,18.17,84036.25000000001,29957.999999999985
4025,Bacardi Oakheart Spiced Rum,480,BACARDI USA INC            ,5437,9732.23,1.37,7448.6900000000005,2283.539999999999
4028,Bacardi Artic Grape Rum,480,BACARDI USA INC            ,14,195.85999999999999,7.99,111.86,83.99999999999999
4042,Bacardi Dragon Berry,480,BACARDI USA INC            ,3236,3203.64,0.72,2329.92,873.7199999999998
4050,Bacardi Oakheart Spiced Rum,480,BACARDI USA INC            ,6399,76882.01,8.72,55799.280000000006,21082.72999999999
4058,Bacardi Oakheart Spiced Rum,480,BACARDI USA INC            ,15,239.85,11.84,177.6,62.25
4066,Bacardi Oakheart Spiced Rum,480,BACARDI USA INC            ,10719,219417.81,12.85,137739.15,81678.66
4075,Bacardi Pineapple Fusion,480,BACARDI USA INC            ,3246,70123.54,15.87,51514.02,18609.519999999997
4092,Bacardi Grapefruit Rum,480,BACARDI USA INC            ,1073,11529.27,11.19,12006.869999999999,-477.59999999999854
4102,Bacardi Raspberry Rum,480,BACARDI USA INC            ,3381,36626.19,10.93,36954.33,-328.1399999999994
4160,Bacardi Gran Reserva Maestro,480,BACARDI USA INC            ,564,12064.359999999999,15.5,8742.0,3322.3599999999988
4179,Bacardi Dragon Berry Rum,480,BACARDI USA INC            ,6719,144216.81,15.14,101725.66,42491.149999999994
4192,Havana Club Anejo Blanco Rum,480,BACARDI USA INC            ,179,3338.2099999999996,15.03,2690.37,647.8399999999997
4196,Bacardi Dragon Berry Rum,480,BACARDI USA INC            ,10497,120103.03,7.46,78307.62,41795.41
4200,Bacardi Grand Melon,480,BACARDI USA INC            ,2165,24690.35,7.68,16627.2,8063.149999999998
4204,Bacardi Coco Rum,480,BACARDI USA INC            ,6521,72356.79,7.74,50472.54,21884.249999999993
4214,Bacardi O Orange Rum,480,BACARDI USA INC            ,116,1552.84,7.57,878.12,674.7199999999999
4216,Havana Club Anejo Clsco Gold,480,BACARDI USA INC            ,483,10105.17,16.92,8172.360000000001,1932.8099999999995
4221,Bacardi Gold Rum Traveler,480,BACARDI USA INC            ,11823,213320.77,12.94,152989.62,60331.149999999994
4222,Bacardi Gold Rum,480,BACARDI USA INC            ,20910,229242.9,7.99,167070.9,62172.0
4223,Bacardi Gold Rum,480,BACARDI USA INC            ,13505,288560.95,14.92,201494.6,87066.35
4226,Bacardi Superior Rum Trav,480,BACARDI USA INC            ,25990,300152.1,7.68,199603.19999999998,100548.9
4227,Bacardi Superior Rum Trav,480,BACARDI USA INC            ,75147,1323223.53,14.17,1064832.99,258390.54000000004
4228,Bacardi 8,480,BACARDI USA INC            ,2681,57553.189999999995,14.7,39410.7,18142.489999999998
4229,Bacardi Black,480,BACARDI USA INC            ,6010,128167.9,14.7,88347.0,39820.899999999994
